Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Activity
74.768066,154.724121,142.028809,-14.74762,-55.480957,3.829956,3
-916.259766,-5.67627,-314.758301,-0.762939,0.778198,-0.114441,1
-88.134766,125.854492,981.689453,14.810387,-26.90057,24.429682,2
165.710449,46.691895,1055.969238,4.525963,-16.593258,0.625971,2
-120.239258,-106.811523,926.452637,1.237694,25.170048,-13.488409,2
-908.081055,-2.441406,-327.636719,1.205444,0.762939,-0.106812,1
-912.17041,-3.90625,-319.091797,-3.807068,1.586914,0.144958,1
-260.986328,-0.061035,988.525391,21.592918,-6.514828,18.631342,2
10.314941,-98.449707,1026.611328,3.961388,30.373295,4.494074,2
21.606445,-77.148438,1030.212402,-6.941017,23.728092,5.264643,2
19.714355,-67.932129,1109.25293,4.228416,-2.822201,-2.448675,2
109.924316,-101.44043,1120.727539,-5.903419,-2.372066,8.766535,2
-50.170898,-84.411621,1009.094238,-24.320778,13.062199,2.884272,2
-119.32373,-102.172852,928.527832,32.022301,7.065495,-17.348883,2
-27.587891,-24.963379,978.45459,8.333031,19.165714,7.789972,2
68.725586,-146.850586,1010.620117,-5.323586,24.307926,-9.238836,2
-1146.66748,-783.203125,300.65918,71.44165,78.285217,43.746948,3
-6.835938,-2.929688,830.566406,11.140648,8.38538,16.334894,2
-452.636719,269.287109,12.084961,42.175293,0.976562,13.48877,3
-1356.872559,527.893066,-962.341309,10.253906,-27.633667,-54.5578,3
18.249512,-101.928711,1165.649414,18.182579,6.416996,1.976374,2
-1051.757812,645.019531,-919.128418,77.232361,-75.462341,-85.472107,3
-31.616211,-102.355957,1020.935059,-28.310951,10.498722,1.510981,2
139.587402,123.10791,1085.754395,4.968468,-19.141476,2.548578,2
197.875977,86.853027,817.749023,-4.827675,-17.165462,-18.203375,2
-1788.513184,-265.197754,-160.644531,-128.509521,-92.880249,2.861023,3
247.314453,99.060059,916.259766,-18.133339,-16.043941,-21.209356,2
194.580078,25.939941,1010.375977,13.63546,-3.669064,-9.368536,2
-57.678223,-1.281738,929.199219,23.454491,2.991398,13.61883,2
-1360.046387,-60.791016,1021.606445,27.069092,-16.716003,-84.083557,3
-43.334961,-114.318848,1239.746094,8.569542,-6.560604,0.00799,2
-916.992188,-15.258789,-312.683105,2.204895,-0.62561,-0.205994,1
-138.73291,-76.049805,969.726562,-15.546974,-6.179134,4.54748,2
-42.358398,-68.786621,1037.658691,-11.152443,14.458378,5.440119,2
-242.126465,-280.273438,213.378906,-47.996521,-5.714417,-49.133301,3
-1843.75,226.5625,16.540527,70.991516,-6.797791,-48.76709,3
698.181152,-74.584961,-203.063965,-53.81012,-26.512146,11.650085,3
34.545898,30.334473,986.633301,-9.04673,-1.95245,-18.104193,2
33.508301,-16.296387,1059.265137,5.914513,-21.4837,14.564875,2
111.999512,182.861328,-459.716797,-2.670288,-44.746399,43.72406,3
-717.590332,-93.505859,68.481445,-69.717407,15.167236,45.639038,3
-918.640137,-12.084961,-312.011719,6.286621,-1.480103,0.160217,1
-266.357422,71.044922,977.355957,19.792381,-23.047726,24.757746,2
67.993164,-73.364258,1089.477539,4.358116,3.998478,7.400873,2
-26.367188,-41.687012,1015.075684,-10.702309,22.736271,8.499506,2
-106.445312,-84.289551,980.712891,-10.465797,13.619144,-7.217047,2
-1934.814453,-179.992676,-281.738281,-44.967651,-104.621887,-4.989624,3
-995.483398,-283.447266,73.425293,29.296875,15.991211,-11.238098,3
-927.062988,-27.526855,-299.377441,-0.976562,0.427246,-0.541687,1
-2000,661.315918,176.574707,92.582703,-130.096436,-24.452209,3
-100.219727,-129.638672,1021.42334,6.891075,-29.891293,5.600336,2
-285.644531,304.870605,-191.223145,10.5896,-10.925293,21.469116,3
-40.405273,-67.382812,1006.896973,7.753197,22.347172,5.470636,2
-2000,315.490723,742.06543,65.582275,-98.114014,70.495605,3
-63.476562,159.423828,984.863281,16.90847,-30.028622,24.277094,2
-43.762207,-90.209961,1214.233398,16.40493,-6.385128,-3.921148,2
95.52002,25.085449,1070.068359,5.250755,-22.36871,17.204645,2
62.866211,49.316406,999.633789,-1.753029,0.69495,-21.148321,2
-1142.272949,-486.755371,211.425781,-15.724182,59.753418,-15.983582,3
-56.57959,70.251465,828.918457,15.382591,6.432255,-14.129278,2
-1210.388184,-830.505371,539.0625,16.685486,82.313538,71.678162,3
-902.893066,-9.216309,-322.570801,2.258301,0.312805,-0.183105,1
-39.916992,-3.295898,912.658691,3.381554,-8.643429,-11.764166,2
137.573242,-87.70752,1117.553711,7.829491,-7.941525,8.20196,2
